TicType,Industry,Sector,Ticker,Name,id,parent,mktCap,Brokers,ret_1M,vol_1M,ret_3M,vol_3M,ret_6M,vol_6M,ret_1Y,vol_1Y,ret_2Y,vol_2Y,ret_3Y,vol_3Y,ret_5Y,vol_5Y
stk,Basic Materials,Industrial Metals and Mining,LSE:ARK,Arkle Resources PLC,57209,57200.0,2.5,,-0.05724994601263911,0.10385603367751582,-0.29792237225835394,0.169402440405905,-0.05707764419865702,0.11758000102058172,0.5005124929442104,0.10145569612302906,-0.2826923972849398,0.0035070870014019466,-0.772499713586336,0.0023882521491472948,-0.4106260236118181,0.0018953866243408763
stk,Basic Materials,Industrial Metals and Mining,LSE:ARS,Asiamet Resources Ltd,57210,57200.0,32.1,3.0,-0.0558172164636076,0.09510088090762941,-0.5963779405539715,0.12745351654218195,-0.06338925153288566,0.12189502773040757,1.0461917553964732,0.08038895800389569,-0.6765388873489226,0.0030506524439601057,-0.8128913037149296,0.002217574625016893,-0.37319564099890046,0.0015516316201740327
stk,Industrials,Industrial Support Services,LSE:ASY,Andrews Sykes Group PLC,57211,57200.0,257.3,,0.047264663838537,0.031045574048230926,-0.011993109675691227,0.04305933705872059,0.00010792307981133398,0.029881205751154976,0.25801464633697835,0.019934020423401238,0.05223775827313015,0.0010809705286026052,0.08014051937068079,0.0008142808684524086,1.1991482563522817,0.0005564662990833704
stk,Basic Materials,Industrial Metals and Mining,LSE:ATM,AfriTin Mining Ltd,57212,57200.0,49.9,,0.26644992460887407,0.22135192018405886,1.3236944421456558,0.111791193847393,1.590936285538921,0.07147391524185588,1.9220206430150646,0.0456592704950006,0.7537029848454666,0.0017394297578045875,1.2771172462577098,0.001401006241185432,0.44160410088858026,0.0010960848370303927
stk,Basic Materials,Industrial Metals and Mining,LSE:AURA,Aura Energy Ltd,57213,57200.0,18.2,,0.4315831382071742,0.41360455307468585,0.8744419587471899,0.18216482787269578,1.1420200792905075,0.10740121925352085,3.285424331679091,0.09523857484559514,0.36587459838461744,0.0033908819722519024,-0.3869695563948823,0.0023392740363112293,-0.6932210033843443,0.0016208764015804291
stk,Industrials,Industrial Engineering,LSE:AVG,Avingtrans PLC,57214,57200.0,106.0,,0.09157644955172817,0.09360138845630772,0.15694392792900214,0.04216593719960028,0.16099559788060946,0.025137064772897122,0.5224073211426219,0.01891792639023506,0.5781455242025189,0.0009714059382636631,0.5516160556299068,0.0007219961140481416,1.2427989549679213,0.000556428767632696
stk,Basic Materials,Industrial Metals and Mining,LSE:BCN,Bacanora Lithium PLC,57215,57200.0,136.5,2.0,-0.07384014337849165,0.09659930768416143,-0.3634149897871882,0.07099885953700634,0.6176106164017161,0.07779869695730107,0.8889129679161576,0.046258191781226775,0.9862684477514987,0.0023177410282557895,-0.5575767108658285,0.0018670384810276642,-0.40599570601569324,0.0012113947122656874
stk,Basic Materials,Industrial Metals and Mining,LSE:BEM,Beowulf Mining PLC,57216,57200.0,35.2,,-0.011739233763077062,0.13323991674802174,-0.11457227164047701,0.06592894563858787,-0.29183867136876784,0.0755613818976712,0.21459663062220158,0.04546988263033956,-0.291053452125848,0.0018093647315519357,-0.4206831981038808,0.0014025765021326608,-0.0007526259414644132,0.0013791717921382732
stk,Industrials,Industrial Support Services,LSE:BILB,Bilby PLC,57217,57200.0,23.9,,0.09822021312381835,0.12314433833206098,0.5593661240937575,0.057447017688212865,0.9021198009029388,0.04952106449352063,2.995594427386288,0.0517146353921269,0.2989264646717449,0.0020860094076218523,-0.6046013522482008,0.0016369282725317862,-0.6856988550684638,0.001160799938714444
stk,Basic Materials,Industrial Metals and Mining,LSE:BMN,Bushveld Minerals Ltd,57218,57200.0,206.1,2.0,-0.11527911104974509,0.08663557859367518,-0.13323383822222146,0.0626652240683753,0.5565650138564253,0.05526384636379045,0.7861239072256958,0.048502592272576035,-0.5059199322571986,0.0021377029666175243,0.19558862531288623,0.001669617469885691,6.4214706172142995,0.0012858337206292337
stk,Industrials,Industrial Support Services,LSE:BRCK,Brickability Group PLC,57219,57200.0,182.1,1.0,0.1693608201278296,0.05569588229257012,0.21368093196105975,0.034486491489249746,0.7667801850689173,0.0375838751138228,1.0914755356687436,0.0250292516708354,0.16880486060320532,0.001118409481316373,0.16880486060320532,0.0009131775175719699,0.16880486060320532,0.0007073442635374541
stk,Basic Materials,Industrial Metals and Mining,LSE:CAML,Central Asia Metals PLC,57220,57200.0,445.8,7.0,-0.013460138731788085,0.07031466261496334,0.05393848690182157,0.052582372170673686,0.5930489011203137,0.034258379079326814,0.6192606764538946,0.029067657790406612,0.019315102056362,0.0012325958692092438,-0.20757657543935282,0.0009398331347423475,0.5274829064080744,0.0006709014844395696
stk,Industrials,Aerospace and Defense,LSE:CHRT,Cohort PLC,57221,57200.0,252.3,2.0,0.03351499653822643,0.047017786559603446,-0.026829659736327893,0.027795458797470942,0.0037144947789611305,0.025525830179432094,0.35603033990615374,0.022866210259434014,0.6863911066581745,0.0008809864113281474,0.7455253217811681,0.0006337018687404807,0.686122241040648,0.00048755976860397017
stk,Industrials,Electronic and Electrical Equipment,LSE:CKT,Checkit PLC,57222,57200.0,30.6,,-2.285599332407795e-05,0.028247432987011954,-0.0395603147556407,0.04654108911693491,0.0531882296511641,0.030364882159682898,0.45074779310977076,0.02377814780946757,0.25572951962274626,0.0014736821005206127,0.8005774733424385,0.001166738216177933,7.5126094741314855,0.0008111700578635146
stk,Basic Materials,Industrial Metals and Mining,LSE:CMH,Chamberlin PLC,57223,57200.0,4.9,,0.0,0.0,0.0,0.0,-0.46170949098633884,0.041736853038858865,-0.6112247140734326,0.024549257507365838,-0.8291695460673001,0.0020458979833799973,-0.8896839079405269,0.0015032669683865856,-0.8938752938134704,0.0010666442075390422
stk,Basic Materials,Industrial Metals and Mining,LSE:CNG,China Nonferrous Gold Ltd,57224,57200.0,30.0,,-0.11748387296227614,0.13325285245632468,-0.11535643669013751,0.09362942357151054,-0.3034627003045772,0.07261512765563692,-0.14396270125088617,0.047597172881352366,1.06122738271827,0.0030120067122399795,-0.436493546042134,0.002322699290968247,-0.7425894381648346,0.001500402639103754
stk,Basic Materials,Industrial Metals and Mining,LSE:CNR,Condor Gold PLC,57225,57200.0,63.4,1.0,7.767263765168231e-05,0.10414697428617131,-0.060066606706740355,0.07643685788968316,0.022095712921363475,0.05268713272029248,0.7403069135871647,0.04805434820823803,1.6124554506769533,0.001971834218050908,0.033448809094326126,0.0014654306456912207,0.10548039067319315,0.001036263296471838
stk,Industrials,Industrial Support Services,LSE:CPP,CPP Group PLC,57226,57200.0,49.8,2.0,0.2078192773983636,0.0966006775809099,0.898072496203423,0.13575829211863358,0.8678217307526965,0.07605259299713128,1.3793064713433805,0.055146257689617624,-0.11635961382494486,0.0024572125967527816,-0.5144545017772453,0.0017873327736283278,-0.5108275399782694,0.0014262696398605888
stk,Industrials,Electronic and Electrical Equipment,LSE:CPX,CAP-XX Ltd,57227,57200.0,42.3,,0.01146259689931517,0.13368709676665597,-0.3129387392515842,0.10446611795978303,1.1941539955029996,0.08511606128254509,3.5520286931032574,0.06776945009874566,0.5958013199605432,0.0024759555370739423,-0.017024640057145435,0.001886039631054124,0.7515671966757931,0.0014097961911614474
stk,Basic Materials,Industrial Metals and Mining,LSE:CRCL,Corcel PLC,57228,57200.0,4.6,,0.2851485207107496,0.24826414054039472,0.2545946802685646,0.1326756032749242,0.10081132532080805,0.07960115564288335,0.2246926399219682,0.059785733429956384,-0.7926197741196982,0.0028686170850553477,-0.9716534929765179,0.002344783113899588,-0.9717645666276302,0.0017418613621008536
stk,Basic Materials,Industrial Materials,LSE:CRPR,Cropper (James) PLC,57229,57200.0,105.1,1.0,3.703033781010667e-05,0.047461515094018684,0.06762554870497595,0.06580842921054059,0.27835932618364456,0.045160885505961236,0.5064448106865642,0.028129543616126074,0.12220812710521889,0.0011287585148960775,-0.2728322011497156,0.0008417864491618108,0.7119313462284877,0.0005906923192718994
stk,Industrials,General Industrials,LSE:CRU,Coral Products PLC,57230,57200.0,11.5,,0.3494105439374533,0.1463696932927869,0.4585743781596616,0.07315886578438148,1.5719771673506138,0.09641575597380338,1.6743906404962412,0.05142712524121349,0.8627748625691507,0.0019270927291020837,0.2017865916608279,0.001528705167936984,-0.4249471557906245,0.0010648317616091156
stk,Industrials,Industrial Support Services,LSE:CSSG,Croma Security Solutions Group PLC,57231,57200.0,10.4,,-0.05449409725465837,0.024699336695579114,0.05297377428528249,0.025784919111205847,-0.0543412899880108,0.026253763811798763,0.16776895237435618,0.02465802318272035,-0.3186778271070898,0.0009996507566538513,-0.3442531824704037,0.0007750482740723399,0.5773064421302154,0.0007360014070532031
stk,Industrials,Industrial Support Services,LSE:CTG,Christie Group PLC,57232,57200.0,31.2,,0.16910351045783,0.0612950010535133,0.29857942104643476,0.03838549750427619,0.5670587083456404,0.030624037285807697,0.4064217806812571,0.025749839305700472,0.22238511305875064,0.0010190333717835316,0.255326491337448,0.0008394860215917462,-0.08007773553194852,0.0006071392315934619
stk,Industrials,Industrial Support Services,LSE:DRV,Driver Group PLC,57233,57200.0,26.1,,-0.00989801979900995,0.016347462362449397,-0.0476713188329162,0.027012900908199227,0.041103804753982454,0.036764184106489746,0.20499802124923194,0.027794285203982336,-0.17357238328938307,0.0011055831942302517,-0.3467886971875743,0.0008503533419975341,-0.18139104639033576,0.0006651444623309948
stk,Industrials,Industrial Transportation,LSE:DX.,DX Group PLC,57234,57200.0,175.0,1.0,-0.058540077366681875,0.12124457952107018,-0.1381392510853401,0.07206396237107038,0.8498122367340324,0.05633348752867035,3.209961025156015,0.03876420735753715,1.478044554284779,0.0015880704582055258,2.5907389472302076,0.001248791360499245,0.3411593880319579,0.0011436796581978652
stk,Basic Materials,Industrial Metals and Mining,LSE:EAAS,eEnergy Group PLC,57235,57200.0,57.9,,0.3991708017254203,0.228135047377419,1.0837005334717293,0.12064660958668463,2.2101434604111123,0.0701187834626765,5.9012959214298695,0.04728257810685651,0.2555003180143043,0.0032197344685430144,-0.2896002620938428,0.002387417886447075,-0.3175140920883214,0.0033589733200353844
