,id,Change,Close,Date,DollarVolume,mktCap,DollarVolume_wt
24053,50000,0.02875,1068.9,2020-12-04,187983.2,106682.7,1.762
24745,50000,-0.00725,1061.2,2020-12-11,169823.9,107311.2,1.583
25438,50000,0.03143,1094.5,2020-12-18,166462.5,107876.3,1.543
26131,50000,0.03054,1127.9,2020-12-24,112105.5,110516.5,1.014
26824,50000,0.02583,1157.0,2020-12-31,81732.3,115716.1,0.706
27517,50000,0.01955,1179.8,2021-01-08,190545.5,117608.0,1.62
28210,50000,-0.00564,1173.1,2021-01-15,230181.0,118687.8,1.939
28903,50000,0.0189,1195.3,2021-01-22,222929.6,119509.2,1.865
29596,50000,-0.02901,1160.7,2021-01-29,234433.0,119002.2,1.97
30289,50000,0.04392,1211.6,2021-02-05,201715.5,120263.3,1.677
30982,50000,0.0068,1219.8,2021-02-12,201293.1,122073.1,1.649
31675,50000,-0.00464,1214.2,2021-02-19,214889.0,122565.2,1.753
32368,50000,-0.02557,1183.3,2021-02-26,248858.4,119261.9,2.087
33061,50000,-0.01681,1163.3,2021-03-05,182919.9,118154.5,1.548
33754,50000,0.02425,1191.5,2021-03-12,171042.2,118351.9,1.445
34447,50000,0.00536,1197.7,2021-03-19,207172.3,120270.8,1.723
35140,50000,-0.0044,1192.5,2021-03-26,182152.7,119598.8,1.523
35833,50000,0.01415,1209.4,2021-04-01,161774.8,119875.1,1.35
1,51100,-0.04062,6591.5,2020-04-03,6039.1,10687.4,0.565
686,51100,0.10914,7310.0,2020-04-09,10548.3,11377.1,0.927
1371,51100,0.00223,7326.2,2020-04-17,10041.0,11608.9,0.865
2056,51100,0.03093,7553.1,2020-04-24,18344.6,11939.2,1.536
2741,51100,0.00626,7600.2,2020-05-01,14202.9,12292.2,1.155
3426,51100,0.02682,7804.5,2020-05-07,9348.4,12289.4,0.761
4111,51100,-0.01625,7677.6,2020-05-15,10878.4,12353.8,0.881
4796,51100,0.03386,7937.3,2020-05-22,12558.2,12585.7,0.998
5481,51100,0.01466,8053.8,2020-05-29,14669.7,12828.5,1.144
6166,51100,0.05381,8487.0,2020-06-05,14840.4,13270.4,1.118
6851,51100,-0.06654,7921.7,2020-06-12,13311.3,13012.2,1.023
7536,51100,0.02172,8093.9,2020-06-19,14782.0,12860.3,1.149
8221,51100,-0.00301,8069.1,2020-06-26,10574.2,13014.1,0.813
8906,51100,-0.00418,8035.2,2020-07-03,11775.7,12910.5,0.912
9591,51100,-0.00156,8023.4,2020-07-10,8026.2,12981.8,0.618
10277,51100,-0.01308,7918.6,2020-07-17,10232.0,12607.8,0.812
10963,51100,0.01144,8009.8,2020-07-24,9354.6,12737.9,0.734
11649,51100,0.01701,8145.4,2020-07-31,8206.9,12812.0,0.641
12336,51100,0.05742,8613.3,2020-08-07,10881.9,13225.6,0.823
13023,51100,0.01038,8703.0,2020-08-14,11864.8,13800.0,0.86
